Proporção: | readers |82| writers |18| Execução |1| tempo | 16443|ms
Proporção: | readers |83| writers |17| Execução |0| tempo | 9384|ms
Proporção: | readers |83| writers |17| Execução |1| tempo | 7627|ms
Proporção: | readers |84| writers |16| Execução |0| tempo | 11130|ms
Proporção: | readers |84| writers |16| Execução |1| tempo | 16271|ms
Proporção: | readers |85| writers |15| Execução |0| tempo | 14193|ms
Proporção: | readers |85| writers |15| Execução |1| tempo | 17715|ms
Proporção: | readers |86| writers |14| Execução |0| tempo | 14516|ms
Proporção: | readers |86| writers |14| Execução |1| tempo | 12703|ms
Proporção: | readers |87| writers |13| Execução |0| tempo | 11291|ms
Proporção: | readers |87| writers |13| Execução |1| tempo | 11320|ms
Proporção: | readers |88| writers |12| Execução |0| tempo | 13675|ms
Proporção: | readers |88| writers |12| Execução |1| tempo | 13564|ms
Proporção: | readers |89| writers |11| Execução |0| tempo | 5170|ms
Proporção: | readers |89| writers |11| Execução |1| tempo | 12842|ms
Proporção: | readers |90| writers |10| Execução |0| tempo | 7668|ms
Proporção: | readers |90| writers |10| Execução |1| tempo | 12675|ms
Proporção: | readers |91| writers |9| Execução |0| tempo | 10515|ms
Proporção: | readers |91| writers |9| Execução |1| tempo | 12540|ms
Proporção: | readers |92| writers |8| Execução |0| tempo | 10017|ms
Proporção: | readers |92| writers |8| Execução |1| tempo | 8967|ms
Proporção: | readers |93| writers |7| Execução |0| tempo | 12826|ms
Proporção: | readers |93| writers |7| Execução |1| tempo | 10976|ms
Proporção: | readers |94| writers |6| Execução |0| tempo | 11901|ms
Proporção: | readers |94| writers |6| Execução |1| tempo | 11948|ms
Proporção: | readers |95| writers |5| Execução |0| tempo | 13246|ms
Proporção: | readers |95| writers |5| Execução |1| tempo | 9591|ms
Proporção: | readers |96| writers |4| Execução |0| tempo | 15178|ms
Proporção: | readers |96| writers |4| Execução |1| tempo | 14438|ms
Proporção: | readers |97| writers |3| Execução |0| tempo | 10495|ms
Proporção: | readers |97| writers |3| Execução |1| tempo | 6120|ms
Proporção: | readers |98| writers |2| Execução |0| tempo | 11143|ms
Proporção: | readers |98| writers |2| Execução |1| tempo | 7671|ms
Proporção: | readers |99| writers |1| Execução |0| tempo | 10350|ms
Proporção: | readers |99| writers |1| Execução |1| tempo | 10030|ms
