Proporção: | readers |5| writers |95| Execução |49| tempo | 130|ms
Proporção: | readers |6| writers |94| Execução |0| tempo | 355|ms
Proporção: | readers |6| writers |94| Execução |1| tempo | 338|ms
Proporção: | readers |6| writers |94| Execução |2| tempo | 338|ms
Proporção: | readers |6| writers |94| Execução |3| tempo | 312|ms
Proporção: | readers |6| writers |94| Execução |4| tempo | 147|ms
Proporção: | readers |6| writers |94| Execução |5| tempo | 149|ms
Proporção: | readers |6| writers |94| Execução |6| tempo | 139|ms
Proporção: | readers |6| writers |94| Execução |7| tempo | 157|ms
Proporção: | readers |6| writers |94| Execução |8| tempo | 153|ms
Proporção: | readers |6| writers |94| Execução |9| tempo | 142|ms
Proporção: | readers |6| writers |94| Execução |10| tempo | 128|ms
Proporção: | readers |6| writers |94| Execução |11| tempo | 134|ms
Proporção: | readers |6| writers |94| Execução |12| tempo | 145|ms
Proporção: | readers |6| writers |94| Execução |13| tempo | 140|ms
Proporção: | readers |6| writers |94| Execução |14| tempo | 132|ms
Proporção: | readers |6| writers |94| Execução |15| tempo | 139|ms
Proporção: | readers |6| writers |94| Execução |16| tempo | 147|ms
Proporção: | readers |6| writers |94| Execução |17| tempo | 141|ms
Proporção: | readers |6| writers |94| Execução |18| tempo | 141|ms
Proporção: | readers |6| writers |94| Execução |19| tempo | 142|ms
Proporção: | readers |6| writers |94| Execução |20| tempo | 136|ms
Proporção: | readers |6| writers |94| Execução |21| tempo | 135|ms
Proporção: | readers |6| writers |94| Execução |22| tempo | 138|ms
Proporção: | readers |6| writers |94| Execução |23| tempo | 144|ms
Proporção: | readers |6| writers |94| Execução |24| tempo | 139|ms
Proporção: | readers |6| writers |94| Execução |25| tempo | 136|ms
Proporção: | readers |6| writers |94| Execução |26| tempo | 148|ms
Proporção: | readers |6| writers |94| Execução |27| tempo | 137|ms
Proporção: | readers |6| writers |94| Execução |28| tempo | 140|ms
Proporção: | readers |6| writers |94| Execução |29| tempo | 137|ms
Proporção: | readers |6| writers |94| Execução |30| tempo | 143|ms
Proporção: | readers |6| writers |94| Execução |31| tempo | 132|ms
Proporção: | readers |6| writers |94| Execução |32| tempo | 140|ms
Proporção: | readers |6| writers |94| Execução |33| tempo | 141|ms
Proporção: | readers |6| writers |94| Execução |34| tempo | 134|ms
Proporção: | readers |6| writers |94| Execução |35| tempo | 133|ms
Proporção: | readers |6| writers |94| Execução |36| tempo | 139|ms
Proporção: | readers |6| writers |94| Execução |37| tempo | 142|ms
Proporção: | readers |6| writers |94| Execução |38| tempo | 134|ms
Proporção: | readers |6| writers |94| Execução |39| tempo | 134|ms
Proporção: | readers |6| writers |94| Execução |40| tempo | 140|ms
Proporção: | readers |6| writers |94| Execução |41| tempo | 147|ms
Proporção: | readers |6| writers |94| Execução |42| tempo | 138|ms
Proporção: | readers |6| writers |94| Execução |43| tempo | 132|ms
Proporção: | readers |6| writers |94| Execução |44| tempo | 141|ms
Proporção: | readers |6| writers |94| Execução |45| tempo | 136|ms
Proporção: | readers |6| writers |94| Execução |46| tempo | 137|ms
Proporção: | readers |6| writers |94| Execução |47| tempo | 146|ms
Proporção: | readers |6| writers |94| Execução |48| tempo | 136|ms
Proporção: | readers |6| writers |94| Execução |49| tempo | 129|ms
Proporção: | readers |7| writers |93| Execução |0| tempo | 329|ms
Proporção: | readers |7| writers |93| Execução |1| tempo | 325|ms
Proporção: | readers |7| writers |93| Execução |2| tempo | 329|ms
Proporção: | readers |7| writers |93| Execução |3| tempo | 338|ms
Proporção: | readers |7| writers |93| Execução |4| tempo | 328|ms
Proporção: | readers |7| writers |93| Execução |5| tempo | 124|ms
Proporção: | readers |7| writers |93| Execução |6| tempo | 139|ms
Proporção: | readers |7| writers |93| Execução |7| tempo | 129|ms
Proporção: | readers |7| writers |93| Execução |8| tempo | 135|ms
Proporção: | readers |7| writers |93| Execução |9| tempo | 138|ms
Proporção: | readers |7| writers |93| Execução |10| tempo | 132|ms
Proporção: | readers |7| writers |93| Execução |11| tempo | 123|ms
Proporção: | readers |7| writers |93| Execução |12| tempo | 119|ms
Proporção: | readers |7| writers |93| Execução |13| tempo | 134|ms
Proporção: | readers |7| writers |93| Execução |14| tempo | 123|ms
Proporção: | readers |7| writers |93| Execução |15| tempo | 127|ms
Proporção: | readers |7| writers |93| Execução |16| tempo | 122|ms
Proporção: | readers |7| writers |93| Execução |17| tempo | 118|ms
Proporção: | readers |7| writers |93| Execução |18| tempo | 125|ms
Proporção: | readers |7| writers |93| Execução |19| tempo | 126|ms
Proporção: | readers |7| writers |93| Execução |20| tempo | 122|ms
Proporção: | readers |7| writers |93| Execução |21| tempo | 117|ms
Proporção: | readers |7| writers |93| Execução |22| tempo | 133|ms
Proporção: | readers |7| writers |93| Execução |23| tempo | 128|ms
Proporção: | readers |7| writers |93| Execução |24| tempo | 118|ms
Proporção: | readers |7| writers |93| Execução |25| tempo | 115|ms
Proporção: | readers |7| writers |93| Execução |26| tempo | 129|ms
Proporção: | readers |7| writers |93| Execução |27| tempo | 127|ms
Proporção: | readers |7| writers |93| Execução |28| tempo | 122|ms
Proporção: | readers |7| writers |93| Execução |29| tempo | 120|ms
Proporção: | readers |7| writers |93| Execução |30| tempo | 120|ms
Proporção: | readers |7| writers |93| Execução |31| tempo | 129|ms
Proporção: | readers |7| writers |93| Execução |32| tempo | 127|ms
Proporção: | readers |7| writers |93| Execução |33| tempo | 118|ms
Proporção: | readers |7| writers |93| Execução |34| tempo | 129|ms
Proporção: | readers |7| writers |93| Execução |35| tempo | 119|ms
Proporção: | readers |7| writers |93| Execução |36| tempo | 123|ms
Proporção: | readers |7| writers |93| Execução |37| tempo | 123|ms
Proporção: | readers |7| writers |93| Execução |38| tempo | 130|ms
Proporção: | readers |7| writers |93| Execução |39| tempo | 130|ms
Proporção: | readers |7| writers |93| Execução |40| tempo | 118|ms
Proporção: | readers |7| writers |93| Execução |41| tempo | 121|ms
Proporção: | readers |7| writers |93| Execução |42| tempo | 117|ms
Proporção: | readers |7| writers |93| Execução |43| tempo | 117|ms
Proporção: | readers |7| writers |93| Execução |44| tempo | 130|ms
Proporção: | readers |7| writers |93| Execução |45| tempo | 125|ms
Proporção: | readers |7| writers |93| Execução |46| tempo | 110|ms
Proporção: | readers |7| writers |93| Execução |47| tempo | 123|ms
Proporção: | readers |7| writers |93| Execução |48| tempo | 130|ms
Proporção: | readers |7| writers |93| Execução |49| tempo | 123|ms
Proporção: | readers |8| writers |92| Execução |0| tempo | 432|ms
Proporção: | readers |8| writers |92| Execução |1| tempo | 426|ms
Proporção: | readers |8| writers |92| Execução |2| tempo | 311|ms
Proporção: | readers |8| writers |92| Execução |3| tempo | 168|ms
Proporção: | readers |8| writers |92| Execução |4| tempo | 171|ms
Proporção: | readers |8| writers |92| Execução |5| tempo | 172|ms
Proporção: | readers |8| writers |92| Execução |6| tempo | 171|ms
Proporção: | readers |8| writers |92| Execução |7| tempo | 170|ms
Proporção: | readers |8| writers |92| Execução |8| tempo | 181|ms
Proporção: | readers |8| writers |92| Execução |9| tempo | 167|ms
Proporção: | readers |8| writers |92| Execução |10| tempo | 175|ms
Proporção: | readers |8| writers |92| Execução |11| tempo | 183|ms
Proporção: | readers |8| writers |92| Execução |12| tempo | 171|ms
Proporção: | readers |8| writers |92| Execução |13| tempo | 163|ms
Proporção: | readers |8| writers |92| Execução |14| tempo | 102|ms
Proporção: | readers |8| writers |92| Execução |15| tempo | 102|ms
Proporção: | readers |8| writers |92| Execução |16| tempo | 115|ms
Proporção: | readers |8| writers |92| Execução |17| tempo | 102|ms
Proporção: | readers |8| writers |92| Execução |18| tempo | 115|ms
Proporção: | readers |8| writers |92| Execução |19| tempo | 109|ms
Proporção: | readers |8| writers |92| Execução |20| tempo | 107|ms
Proporção: | readers |8| writers |92| Execução |21| tempo | 110|ms
Proporção: | readers |8| writers |92| Execução |22| tempo | 112|ms
Proporção: | readers |8| writers |92| Execução |23| tempo | 113|ms
Proporção: | readers |8| writers |92| Execução |24| tempo | 103|ms
Proporção: | readers |8| writers |92| Execução |25| tempo | 113|ms
Proporção: | readers |8| writers |92| Execução |26| tempo | 126|ms
Proporção: | readers |8| writers |92| Execução |27| tempo | 112|ms
Proporção: | readers |8| writers |92| Execução |28| tempo | 100|ms
Proporção: | readers |8| writers |92| Execução |29| tempo | 109|ms
Proporção: | readers |8| writers |92| Execução |30| tempo | 100|ms
Proporção: | readers |8| writers |92| Execução |31| tempo | 108|ms
Proporção: | readers |8| writers |92| Execução |32| tempo | 111|ms
Proporção: | readers |8| writers |92| Execução |33| tempo | 111|ms
Proporção: | readers |8| writers |92| Execução |34| tempo | 108|ms
Proporção: | readers |8| writers |92| Execução |35| tempo | 108|ms
Proporção: | readers |8| writers |92| Execução |36| tempo | 106|ms
